,subject,title,description,outcomes,skills,hours,institute,level,Languages,url,img_url
0,Business,Foundations of Project Management,"This course is the first in a series of six to equip you with the skills you need to apply to introductory-level roles in project management. Project managers play a key role in leading, planning and implementing critical projects to help their organizations succeed. In this course, you’ll discover foundational project management terminology and gain a deeper understanding of  the role and responsibilities of a project manager. We’ll also introduce you to the kinds of jobs you might pursue after completing this program. Throughout the program, you’ll learn from current Google project managers, who can provide you with a multi-dimensional educational experience that will help you build your skills  for on-the-job application. Learners who complete this program should be equipped to apply for introductory-level jobs as project managers. No previous experience is necessary.

By the end of this course, you will be able to:
- Define project management and describe what constitutes a project.
- Explore project management roles and responsibilities across a variety of industries.
- Detail the core skills that help a project manager be successful.
- Describe the life cycle of a project and explain the significance of each phase.
- Compare different program management methodologies and approaches and determine which is most effective for a given project.
- Define organizational structure and culture and explain how it impacts project management. 
- Define change management and describe the role of the project manager in the process.","Describe project management skills, roles, and responsibilities across a variety of industries. Explain the project management life cycle and compare different program management methodologies . Define organizational structure and organizational culture and explain how it impacts project management.",Organizational Culture. Career Development. Strategic Thinking. Change Management. Project Management,15,Google,Beginner Level,English-English,https://www.coursera.org/learn/project-management-foundations,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/33/56fa78ec0542f19eaa977b8854c833/coursera2.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
1,Business,Financial Markets,"An overview of the ideas, methods, and institutions that permit human society to manage risks and foster enterprise.  Emphasis on financially-savvy leadership skills. Description of practices today and analysis of prospects for the future. Introduction to risk management and behavioral finance principles to understand the real-world functioning of securities, insurance, and banking industries.  The ultimate goal of this course is using such industries effectively and towards a better society.SHOW ALL COURSE OUTLINESHOW ALL",NA,Behavioral Finance. Financial Markets. Finance. Behavioral Economics,33,Yale University,Beginner Level,"English-Arabic, French, Portuguese (European), Italian, Portuguese (Brazilian), Vietnamese, Korean, German, Russian, English, Spanish, Japanese",https://www.coursera.org/learn/financial-markets-global,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/51/51d7604aba11e7ae3525d9720463e7/Shiller_FinancialMarkets_New.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
2,Business,AI For Everyone,"AI is not only for engineers. If you want your organization to become better at using AI, this is the course to tell everyone--especially your non-technical colleagues--to take. In this course, you will learn:

- The meaning behind common AI terminology, including neural networks, machine learning, deep learning, and data science
- What AI realistically can--and cannot--do
- How to spot opportunities to apply AI to problems in your own organization
- What it feels like to build machine learning and data science projects
- How to work with an AI team and build an AI strategy in your company
- How to navigate ethical and societal discussions surrounding AI

Though this course is largely non-technical, engineers can also take this course to learn the business aspects of AI.SHOW ALL COURSE OUTLINESHOW ALL",NA,Workflow of Machine Learning projects. AI terminology. AI strategy. Workflow of Data Science projects,12,DeepLearning.AI,Beginner Level,"English-Chinese (Traditional), Arabic, French, Portuguese (European), Chinese (Simplified), Italian, Vietnamese, Dutch, German, Russian, Thai, English, Spanish, Japanese",https://www.coursera.org/learn/ai-for-everyone,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/41/763803169e4d31a5e7611bc928124b/Course-Logo.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
3,Business,Project Initiation: Starting a Successful Project,"This is the second course in the Google Project Management Certificate program. This course will show you how to set a project up for success in the first phase of the project life cycle: the project initiation phase. In exploring the key components of this phase, you’ll learn how to define and manage project goals, deliverables, scope, and success criteria. You’ll discover how to use tools and templates like stakeholder analysis grids and project charters to help you set project expectations and communicate roles and responsibilities. Current Google project managers will continue to instruct and provide you with hands-on approaches for accomplishing these tasks while showing you the best project management tools and resources for the job at hand.Learners who complete this program should be equipped to apply for introductory-level jobs as project managers. No previous experience is necessary.

By the end of this course, you will be able to: 
- Understand the significance of the project initiation phase of the project life cycle. 
- Describe the key components of the project initiation phase. 
- Determine a project’s benefits and costs.
- Define and create measurable project goals and deliverables. 
- Define project scope and differentiate among tasks that are in-scope and out-of-scope. 
- Understand how to manage scope creep to avoid impacting project goals.
- Define and measure a project’s success criteria. 
- Complete a stakeholder analysis and explain its significance.
- Utilize RACI charts to define and communicate project team member responsibilities.
- Understand the key components of project charters and develop a project charter for project initiation.
- Evaluate various project management tools to meet project needs.SHOW ALL COURSE OUTLINESHOW ALL",Understand the significance of the initiation phase of the project life cycle.. Understand the key components of project charters and develop a project charter for project initiation.. Complete a stakeholder analysis and utilize RACI charts to define and communicate project team member responsibilities.. Evaluate various project management tools to meet project needs. ,Stakeholder Management. Strategic Thinking. Business Writing. Project Management. Project Charter,19,Google,Beginner Level,English-English,https://www.coursera.org/learn/project-initiation-google,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/06/33bf0bb5a64ec7b6420705673ccd6f/GoogleDC_0007_edit.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
4,Business,Fundamentals of Project Planning and Management,"Projects are all around us. Virtually every organization runs projects, either formally or informally. We are engaged in projects at home and at work. Across settings, planning principles and execution methodologies can offer ways in which projects can be run more effectively and efficiently. Project management provides organizations (and individuals) with the language and the frameworks for scoping projects, sequencing activities, utilizing resources, and minimizing risks.This is an introductory course on the key concepts of planning and executing projects. We will identify factors that lead to project success, and learn how to plan, analyze, and manage projects. Learners will be exposed to state-of-the-art methodologies and to considering the challenges of various types of projects.SHOW ALL COURSE OUTLINESHOW ALL","How to initiate, define and organize a project. How to develop a project plan, including scoping, sequencing tasks, and determining a critical path. How to assess, prioritize and manage project risk. How to execute projects and use the earned value approach for monitoring and controlling progress",Risk Analysis. Project Planning. Planning. Management. Project Management,8,University of Virginia,Beginner LevelNo prior experience needed to participate in and benefit from this course.,"English-Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish, Hungarian",https://www.coursera.org/learn/uva-darden-project-management,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/c0/f03b80bb7311e4a5f827cf3ce5bc88/PMMOOCImage.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF&q=25
5,Business,Successful Negotiation: Essential Strategies and Skills,"We all negotiate on a daily basis. On a personal level, we negotiate with friends, family, landlords, car sellers and employers, among others. Negotiation is also the key to business success. No business can survive without profitable contracts. Within a company, negotiation skills can lead to your career advancement. I hope that you will join the hundreds of thousands of learners who have made “Successful Negotiation” one of the most popular and highly-rated MOOCs worldwide.  In the course, you’ll learn about and practice the four steps to a successful negotiation: 

   (1) Prepare: Plan Your Negotiation Strategy 

   (2) Negotiate: Use Key Tactics for Success 

   (3) Close: Create a Contract 

   (4) Perform and Evaluate: The End Game 

To successfully complete this course and improve your ability to negotiate, you’ll need to do the following: 

(1) Watch the short videos (ranging from 5 to 20 minutes). The videos are interactive and they include questions to test your understanding of negotiation strategy and skills. You can speed up or slow down videos to match your preferred pace for listening. Depending on your schedule, you can watch the videos over a few weeks or you can binge watch them. A learner who binge-watched the course concluded that “It’s as good as Breaking Bad.” Another learner compared the course to “House of Cards.”  Both shows contain interesting examples of complex negotiations!

(2) Test your negotiation skills by completing the negotiation in Module 6. You can negotiate with a local friend or use Discussions to find a partner from another part of the world. Your negotiation partner will give you feedback on your negotiation skills. To assist you with your negotiations, I have developed several free negotiating planning tools that are related to the course.  These tools and a free app are available at http://negotiationplanner.com/ 

(3) Take the final exam. To successfully complete the course, you must answer 80% of the questions correctly. The exam is a Mastery Exam, which means that you can take it as many times as you want until you master the material. 

Course Certificate
You have the option of earning a Course Certificate.  A Certificate provides formal recognition of your achievements in the course and includes the University of Michigan logo.   Learn more about Certificates at: https://learner.coursera.help/hc/en-us/articles/209819053-Get-a-Course-Certificate
 
This course is also available in Spanish and Portuguese. To join the fully translated Spanish version, visit this page: https://www.coursera.org/learn/negociacion/ 

To join the fully translated Portuguese version, visit this page: https://www.coursera.org/learn/negociacao
Subtitles for the videos are available in English, Ukrainian, Chinese (Simplified), Portuguese (Brazilian), Spanish


Created by:  University of Michigan

The course logo composite is shared with a Creative Commons CC BY-SA (https://creativecommons.org/licenses/by-sa/2.0/) license, and was created using images provided courtesy of Flazingo Photos (http://bit.ly/1zOylRm) and K2 Space (https://www.flickr.com/photos/k2space/14257556613/in/set-72157644732478432).SHOW ALL COURSE OUTLINESHOW ALL",NA,Strategic Negotiations. Communication. Negotiation. Decision Tree,17,University of Michigan,100% onlineStart instantly and learn at your own schedule.,"English-Arabic, French, Ukrainian, Portuguese (European), Chinese (Simplified), Italian, Portuguese (Brazilian), Vietnamese, German, Russian, English, Spanish",https://www.coursera.org/learn/negotiation-skills,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/99/7ab7c00f7b11e79b617dbb2116532d/contractnegotiations_Logo_080814d.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&q=25&fit=fill&bg=FFF
6,Business,"Brand Management: Aligning Business, Brand and Behaviour","Professor Nader Tavassoli of London Business School contrasts traditional approaches to branding - where brands are a visual identity and a promise to customers - to brands as a customer experience delivered by the entire organisation. The course offers a brand workout for your own brands, as well as guest videos from leading branding professionals. The aim of the course is to change the conception of brands as being an organisation's visual identity (e.g., logo) and image (customers' brand associations) to an experience along ""moments-that-matter"" along the customer journey and, therefore, delivered by people across the entire organisation. Brands are thus not only an external promise to customers, but a means of executing business strategy via internal brand-led behaviour and culture change.

You will learn and practice the following skills:

1.	How to build brands from a broad organisational perspective 
2.	How to lead brand-led culture change with human resource practices at the core (i.e., brand as a lever and not just an outcome) 
3.	How to build brands in multi-brand companies, across cultures and geographies
4.	How to measure brand health in new ways, that is, internally in addition to externally
5.	How to value and capture returns to brands across the organisation - introducing the new concept of employee-based brand equity - and how this is different from the valuation of brands as intangible assets. 

This course allows you to develop the following aspects of yourself:

1.	Head. Gain a deeper understanding of the evolving practice of brand management, one that goes further than practiced in most organisations today
2.	Heart. Be motivated to engage in delivering your own brands – regardless of where you are in your organisation – thereby creating superior value for customers and for your organisation
3.	Hands. Translate learnings into action. As Confucius is supposed to have said: “I hear and I forget. I see and I remember. I do and I understand.”SHOW ALL COURSE OUTLINESHOW ALL",NA,Corporate Branding. Brand Marketing. Brand Management. Brand Identity,17,University of London,Beginner Level,"English-Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",https://www.coursera.org/learn/brand,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/9a/eaaf20143211e5865e25d5c1659a56/MOOC-logo_wide.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&q=25&fit=fill&bg=FFF
7,Business,Impact Measurement & Management for the SDGs,"How can businesses and investors help fill the multi-trillion dollar gap needed for sustainable development? Simply put, by getting better at measuring and managing impacts on people and planet. Through this course, anyone can learn to improve their organization's practice of impact management, and how to align their ESG or impact activities and reporting with emerging global standards. Impact Measurement and Management for the SDGs is sponsored by the United Nations Development Programme (UNDP), the global development network of the United Nations which created the 17 Sustainable Development Goals (SDGs) that over 190 countries have signed on to achieve by 2030.  But the public sector can't do this alone. Climate change, poverty, racial and gender equity, food, health, education, clean water --  the list of challenges faced by people and planet is too long. Business and investment have stepped in to help. But in a field of evolving acronyms, standards and systems, many are not exactly sure what is required to do this work well. Third party standards and certifications are also evolving quickly to verify and assure impact management practices. What do you need to know to align your work with impact on the SDGs in ways that meet evolving expectations?

Produced by the award winning team at CASE at Duke University, and developed in collaboration with advisors from around the world, this course consolidates several decades of work around impact management into a cutting-edge guide based on short videos and lessons with concrete practical examples.   The course emphasizes ways to improving decision-making for impact on SDGs through changes enterprises and investors can make in strategy, management approach, transparency, and governance, which we have translated into 4 universal practices of impact measurement and management  - SET STRATEGY, INTEGRATE, OPTIMIZE and REINFORCE. These steps are aligned with the UNDP's SDG Impact Standards as well as others, such as the Operating Principles for Impact Management. People who know how to apply these standards are increasingly in demand by institutions globally as they work to improve their performance and reporting around ESG and impact management. 

If you work or wish to work within an enterprise, a corporation, a fund that manages assets or an asset owner or advisory that oversees investment assets, or if you just want to learn more about impact investing, ESG, social finance or corporate reporting, this course will help you master the core concepts and practices in impact management for the SDGs and other impacts from both an enterprise and investor perspective.SHOW ALL COURSE OUTLINESHOW ALL",NA,NA,9,Duke University,100% onlineStart instantly and learn at your own schedule.,English-English,https://www.coursera.org/learn/impact-for-sdgs,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/cd/1c7639414649329077bfce8af46fa1/UNDP-IMP_courseLOGO-transparentforWhiteBkgd.png?auto=format%2Ccompress&dpr=1&w=150&h=150&q=25&fit=fill&bg=FFF
8,Business,Private Equity and Venture Capital,"The course deals with the analysis of the private equity and venture capital business. Over the course, students will be provided with a deep understanding of the mechanism underpinning the creation and/or development of a firm and the financial support it can get from the financial system through venture capital investment.

The course tries to discover how special financial intermediaries (called private equity investors) finance through equity companies belonging to different stages of their life-cycle, starting from the very beginning (startup and early stage) to a more mature phase (i.e. expansion, mature age, etc.) or also staying into crises and decline. 

Private equity (named venture capital when the company is in the first phases of its life cycle) deals with very different activities, such as scouting, advisory, deal-making, valuation, and financing as financial intermediaries see it. 

COURSE SYLLABUS
The course is made up of four different modules: 
WEEK 1 - Introduction to Private Equity and Venture Capital
WEEK 2 - Discovering Private Equity Investors: Legal Issues and Taxation
WEEK 3 - Management of Private Equity and Venture Capital Funds
WEEK 4 - Company Valuation And Deal Making In Private Equity Settings
WEEK 5 - Final Test
Throughout the course, guest speakers and practitioners will be interviewed to provide some examples of concrete applications of the contents presented.

RECOMMENDED BACKGROUND
An understanding of the basic concepts of corporate financing accounting principles is required, while prior knowledge of private equity and venture capital is not required however it is recommended, as this is a course designed to introduce you to the fundamental concepts in private equity and venture capital.SHOW ALL COURSE OUTLINESHOW ALL",NA,Valuation (Finance). Venture Capital. Venture Capital Financing. Private Equity,10,Università Bocconi,100% onlineStart instantly and learn at your own schedule.,"English-Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish",https://www.coursera.org/learn/private-equity,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/39/e5acd0346611e5b80461999c2a9a44/financial.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&q=25&fit=fill&bg=FFF
9,Business,Project Planning: Putting It All Together,"This is the third course in the Google Project Management Certificate program. This course will explore how to map out a project in the second phase of the project life cycle: the project planning phase. You will examine the key components of a project plan, how to make accurate time estimates, and how to set milestones. Next, you will learn how to build and manage a budget and how the procurement processes work. Then, you will discover tools that can help you identify and manage different types of risk and how to use a risk management plan to communicate and resolve risks. Finally, you will explore how to draft and manage a communication plan and how to organize project documentation. Current Google project managers will continue to instruct and provide you with hands-on approaches for accomplishing these tasks while showing you the best project management tools and resources for the job at hand.Learners who complete this program should be equipped to apply for introductory-level jobs as project managers. No previous experience is necessary.

By the end of this course, you will be able to: 
 - Describe the components of the project planning phase and their significance.
 - Explain why milestones are important and how to set them. 
 - Make accurate time estimates and describe techniques for acquiring them from team members.  
 - Identify tools and best practices to build a project plan and risk management plan. 
 - Describe how to estimate, track, and maintain a budget.
 - Explain the procurement process and identify key procurement documentation. 
 - Draft a communication plan and explain how to manage it.
 - Explain why milestones are important and how to set them. 
 - Explain why a project plan is necessary and what components it contains. 
 - Make accurate time estimates and describe techniques for acquiring them from team members.SHOW ALL COURSE OUTLINESHOW ALL","Describe the components of the project planning phase and their significance.. Identify tools and best practices to build a project plan and risk management plan. . Describe how to estimate, track, and maintain a budget.. Draft a communication plan and explain how to manage it.",Project Planning. Strategic Thinking. Risk Management. Task Estimation. Procurement,25,Google,Beginner Level,English-English,https://www.coursera.org/learn/project-planning-google,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/75/0f6327601d444da1545fc560bc5ac4/1200x600_certsResize_2.png?auto=format%2Ccompress&dpr=1&w=150&h=150&q=25&fit=fill&bg=FFF
